,Name,Total Bedroom,Total Bathroom,Apart Size,Max Capacity,Max Watt,Address,Swim Pool,Furnish Type,Price
59,Modest 2BR Apartment at Casablanca East Residences By Travelio,2,1,31,3,1300,"Jalan Pahlawan Revolusi No.2, RT.1/RW.2, Pd. Bambu, Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13430",1,Full Furnished,3378749
60,1BR Super King Bed Ancol Marina Apartment By Travelio,1,1,54,2,5500,"Jl. Lodan Raya No.2, RT.8/RW.11, Ancol, Pademangan, Kota Jakarta Utara, Daerah Khusus Ibukota Jakarta 14430",1,Full Furnished,3399999
61,Simply for 2BR at Kalibata City Apartment By Travelio,2,1,33,4,1300,"Jl. Taman Makam Pahlawan, RT.9/RW.4, Rawajati, Pancoran, Kalibata, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12740",-1,Full Furnished,3400000
62,Studio Sunter Park View Apartment Near Mall Of Indonesia Kelapa Gading By Travelio,0,1,25,2,900,"Jalan Yos Sudarso, Sunter Jaya, Tanjung Priok, Jakarta Utara",1,Full Furnished,3416204
63,Fabulous Studio Room Puri Orchard Apartment By Travelio,0,1,26,2,1200,"Jl. Raya Adicipta Kav. 8 Lingkar Luar Barat, RT.11/RW.3, Rawa Buaya, Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11740",1,Full Furnished,3416999
64,Fully Furnished with Comfortable Design Studio Puri Orchard Apartment By Travelio,0,1,26,2,1200,"Jl. Raya Adicipta Kav. 8 Lingkar Luar Barat, RT.11/RW.3, Rawa Buaya, Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11740",1,Full Furnished,3416999
65,Spacious 1BR Puri Park View Apartment By Travelio,1,1,35,2,1,"Jl. Pesanggrahan No.33 10, RT.10/RW.5, 5, Meruya Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620",1,Full Furnished,3429999
66,Minimalist Studio Room at Sunter Park View Apartment By Travelio,0,1,25,2,900,"Jl. Yos Sudarso, Sunter Jaya, Tj. Priok, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14360",1,Full Furnished,3470428
67,Cozy Stay at 2BR at Kalibata City Apartment near Shopping Center By Travelio,2,1,33,3,1300,"Jl. Taman Makam Pahlawan, RT.9/RW.4, Rawajati, Pancoran, Kalibata, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12740",-1,Full Furnished,2978402
68,Strategic and Simply Studio Sunter Park View Apartment By Travelio,0,1,17,2,1300,"Jl. Yos Sudarso, Sunter Jaya, Tj. Priok, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14360",1,Full Furnished,3499999
69,Beautiful Studio at Pasar Baru Mansion Apartment By Travelio,0,1,31,2,1300,"Jl. Pintu Air V No.53, RT.5/RW.8, Ps. Baru, Jakarta, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 11710",1,Full Furnished,3499999
70,Good Deal Bassura City Studio Apartment By Travelio,0,1,20,2,1200,"Jl. Basuki Rahmat No.1A, RT.8/RW.10, Cipinang Besar Sel., Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410",1,Full Furnished,3500000
71,2BR Pancoran Riverside Apartment Fully Furnished By Travelio,2,1,32,3,2200,"Jalan Pengadegan Timur I No. 30, RT.06 / RW.01, Pengadegan, Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12770",1,Full Furnished,3514799
72,Best Price 2BR Apartment at Northland Ancol Residence By Travelio,2,1,41,3,3500,"Jl. Laksamana R. E. Martadinata No.26, Pademangan Barat, Pademangan, RT.11/RW.11, Pademangan Bar., Pademangan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14420",1,Full Furnished,2526161
73,Homey and Tidy 2BR Apartment at Pancoran Riverside By Travelio,2,1,33,3,2200,"Jalan Pengadegan Timur I No. 30, RT.06 / RW.01, Pengadegan, Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12770",1,Full Furnished,3555633
74,Garden View Studio at Nifarro Park Apartment By Travelio,0,1,26,2,1300,"Jl. Raya Pasar Minggu RT.1/RW.1, Pejaten Timur, Pasar Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510",-1,Full Furnished,3412499
75,Good Choice Studio Nifarro Park Apartment By Travelio,0,1,26,2,2200,"Jl. Raya Pasar Minggu RT.1/RW.1, Pejaten Timur, Pasar Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510",-1,Full Furnished,3562499
76,Best Price Modern Studio Apartment at Nifarro Park By Travelio,0,1,26,2,1300,"Jl. Raya Pasar Minggu RT.1/RW.1, Pejaten Timur, Pasar Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510",-1,Full Furnished,3412499
77,Elegant Studio Apartment at Nifarro Park By Travelio,0,1,26,2,1300,"Jl. Raya Pasar Minggu RT.1/RW.1, Pejaten Timur, Pasar Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510",-1,Full Furnished,3572874
78,Cozy Minimalist 1BR Apartment at Mediterania Marina Residence By Travelio,1,1,31,2,3500,"Jl. Lodan Raya No.2, RT.8/RW.11, Ancol, Pademangan, Kota Jakarta Utara, Daerah Khusus Ibukota Jakarta 14430",1,Full Furnished,3424966
79,Relax Studio at Nifarro Apartment By Travelio,0,1,26,2,1300,"Jl. Raya Pasar Minggu RT.1/RW.1, Pejaten Timur, Pasar Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510",-1,Full Furnished,3574999
80,Comfort Studio Kebagusan City Apartment By Travelio,0,1,24,2,900,"Jalan Baung III No.16, RT.1/RW.3, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",1,Full Furnished,3590528
